AdditionalFields,ClientVersion,DeviceId,DeviceName,DeviceObjectId,IsAzureADJoined,LoggedOnUsers,MachineGroup,OSArchitecture,OSBuild,OSPlatform,OSVersion,RegistryDeviceTag,ReportId,"TimeGenerated [UTC]","Timestamp [UTC]",AadDeviceId,DeviceCategory,DeviceSubtype,DeviceType,JoinType,MergedDeviceIds,MergedToDeviceId,Model,OnboardingStatus,OSDistribution,OSVersionInfo,Vendor,SensorHealthState,IsExcluded,ExclusionReason,AssetValue,ExposureLevel,IsInternetFacing,DeviceManualTags,DeviceDynamicTags,AwsResourceName,GcpFullResourceName,CloudPlatforms,HardwareUuid,HostDeviceId,IsTransient,MitigationStatus,OsBuildRevision,RestrictedDeviceSecurityOperations,SourceSystem,Type
,"10.8798.17763.7792",0220e4c274577c1dba179f1812d031a7757ffaae,"kingslanding.sevenkingdoms.local",,false,"[{""UserName"":""localuser"",""DomainName"":""SEVENKINGDOMS"",""Sid"":""S-1-5-21-3730121682-1558260717-1313176974-1000""}]",GOAD,"64-bit",17763,WindowsServer2019,"10.0","GOADa7ff41-GOAD-DC01",639032528020626800,"1/5/2026, 11:32:34.679 PM","1/5/2026, 11:32:34.679 PM",,Endpoint,,Server,"Domain Joined",,,,Onboarded,WindowsServer2019,1809,,Active,false,,,Medium,,,,,,"[""Arc""]","e0790d1a-da7c-44af-82e6-7ba7ca1d5359",,false,,7792,,,DeviceInfo
,"10.8798.17763.7792",536672e83b4ef2f109c5d44e37a947eedcfb6b4b,"winterfell.north.sevenkingdoms.local",,false,"[{""UserName"":""localuser"",""DomainName"":""NORTH"",""Sid"":""S-1-5-21-2975077076-1813412092-533620653-1000""}]",UnassignedGroup,"64-bit",17763,WindowsServer2019,"10.0","GOADa7ff41-GOAD-DC02",639032557717359600,"1/6/2026, 12:12:56.356 AM","1/6/2026, 12:12:56.356 AM",,Endpoint,,Server,"Domain Joined",,,,Onboarded,WindowsServer2019,1809,,Active,false,,,Medium,,,,,,"[""Arc""]","b5d0c01c-bf08-4354-8e81-9412ae4ffb7e",,false,,7792,,,DeviceInfo
,"10.8798.17763.7792",0220e4c274577c1dba179f1812d031a7757ffaae,"kingslanding.sevenkingdoms.local",,false,"[{""UserName"":""localuser"",""DomainName"":""SEVENKINGDOMS"",""Sid"":""S-1-5-21-3730121682-1558260717-1313176974-1000""}]",GOAD,"64-bit",17763,WindowsServer2019,"10.0","GOADa7ff41-GOAD-DC01",639032564243591400,"1/6/2026, 12:32:37.416 AM","1/6/2026, 12:32:37.416 AM",,Endpoint,,Server,"Domain Joined",,,,Onboarded,WindowsServer2019,1809,,Active,false,,,Medium,,,,,,"[""Arc""]","e0790d1a-da7c-44af-82e6-7ba7ca1d5359",,false,,7792,,,DeviceInfo
,"10.8798.17763.7792",536672e83b4ef2f109c5d44e37a947eedcfb6b4b,"winterfell.north.sevenkingdoms.local",,false,"[{""UserName"":""localuser"",""DomainName"":""NORTH"",""Sid"":""S-1-5-21-2975077076-1813412092-533620653-1000""}]",UnassignedGroup,"64-bit",17763,WindowsServer2019,"10.0","GOADa7ff41-GOAD-DC02",639032547010355600,"1/6/2026, 12:04:22.330 AM","1/6/2026, 12:04:22.330 AM",,Endpoint,,Server,"Domain Joined",,,,Onboarded,WindowsServer2019,1809,,Active,false,,,Medium,,,,,,"[""Arc""]","b5d0c01c-bf08-4354-8e81-9412ae4ffb7e",,false,,7792,,,DeviceInfo
,"10.8798.17763.7792",71a0557094bd79802ccb878bb11ac78612973c24,"castelblack.north.sevenkingdoms.local",,false,"[{""UserName"":""localuser"",""DomainName"":""CASTELBLACK"",""Sid"":""S-1-5-21-2428024234-3189697923-2318280212-1000""}]",UnassignedGroup,"64-bit",17763,WindowsServer2019,"10.0","GOADa7ff41-GOAD-SRV02",639032835806555000,"1/6/2026, 8:04:34.675 AM","1/6/2026, 8:04:34.675 AM",,Endpoint,,Server,"Domain Joined",,,,Onboarded,WindowsServer2019,1809,,Active,false,,,Medium,,,,,,"[""Arc""]","dd0932af-112f-478a-a873-d64f7666785a",,false,,7792,,,DeviceInfo
,"10.8798.17763.7792",71a0557094bd79802ccb878bb11ac78612973c24,"castelblack.north.sevenkingdoms.local",,false,"[{""UserName"":""localuser"",""DomainName"":""CASTELBLACK"",""Sid"":""S-1-5-21-2428024234-3189697923-2318280212-1000""}]",UnassignedGroup,"64-bit",17763,WindowsServer2019,"10.0","GOADa7ff41-GOAD-SRV02",639032549591563100,"1/6/2026, 12:03:34.127 AM","1/6/2026, 12:03:34.127 AM",,Endpoint,,Server,"Domain Joined",,,,Onboarded,WindowsServer2019,1809,,Active,false,,,Medium,,,,,,"[""Arc""]","dd0932af-112f-478a-a873-d64f7666785a",,false,,7792,,,DeviceInfo
,"10.8798.17763.7792",536672e83b4ef2f109c5d44e37a947eedcfb6b4b,"winterfell.north.sevenkingdoms.local",,false,"[{""UserName"":""localuser"",""DomainName"":""NORTH"",""Sid"":""S-1-5-21-2975077076-1813412092-533620653-1000""}]",UnassignedGroup,"64-bit",17763,WindowsServer2019,"10.0","GOADa7ff41-GOAD-DC02",639032625193033000,"1/6/2026, 2:14:26.603 AM","1/6/2026, 2:14:26.603 AM",,Endpoint,,Server,"Domain Joined",,,,Onboarded,WindowsServer2019,1809,,Active,false,,,Medium,,,,,,"[""Arc""]","b5d0c01c-bf08-4354-8e81-9412ae4ffb7e",,false,,7792,,,DeviceInfo
,"10.8798.17763.7792",536672e83b4ef2f109c5d44e37a947eedcfb6b4b,"winterfell.north.sevenkingdoms.local",,false,"[{""UserName"":""localuser"",""DomainName"":""NORTH"",""Sid"":""S-1-5-21-2975077076-1813412092-533620653-1000""}]",UnassignedGroup,"64-bit",17763,WindowsServer2019,"10.0","GOADa7ff41-GOAD-DC02",639032661365509200,"1/6/2026, 3:14:30.996 AM","1/6/2026, 3:14:30.996 AM",,Endpoint,,Server,"Domain Joined",,,,Onboarded,WindowsServer2019,1809,,Active,false,,,Medium,,,,,,"[""Arc""]","b5d0c01c-bf08-4354-8e81-9412ae4ffb7e",,false,,7792,,,DeviceInfo
,"10.8798.17763.7792",71a0557094bd79802ccb878bb11ac78612973c24,"castelblack.north.sevenkingdoms.local",,false,"[{""UserName"":""localuser"",""DomainName"":""CASTELBLACK"",""Sid"":""S-1-5-21-2428024234-3189697923-2318280212-1000""}]",UnassignedGroup,"64-bit",17763,WindowsServer2019,"10.0","GOADa7ff41-GOAD-SRV02",639032619143306500,"1/6/2026, 2:03:41.010 AM","1/6/2026, 2:03:41.010 AM",,Endpoint,,Server,"Domain Joined",,,,Onboarded,WindowsServer2019,1809,,Active,false,,,Medium,,,,,,"[""Arc""]","dd0932af-112f-478a-a873-d64f7666785a",,false,,7792,,,DeviceInfo
,"10.8798.17763.7792",536672e83b4ef2f109c5d44e37a947eedcfb6b4b,"winterfell.north.sevenkingdoms.local",,false,"[{""UserName"":""localuser"",""DomainName"":""NORTH"",""Sid"":""S-1-5-21-2975077076-1813412092-533620653-1000""}]",UnassignedGroup,"64-bit",17763,WindowsServer2019,"10.0","GOADa7ff41-GOAD-DC02",639032589252915700,"1/6/2026, 1:14:24.698 AM","1/6/2026, 1:14:24.698 AM",,Endpoint,,Server,"Domain Joined",,,,Onboarded,WindowsServer2019,1809,,Active,false,,,Medium,,,,,,"[""Arc""]","b5d0c01c-bf08-4354-8e81-9412ae4ffb7e",,false,,7792,,,DeviceInfo
